Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
1835;1.00;0.60;0.30;;;;
1840;0.90;0.50;0.30;;;;
1845;0.80;0.50;0.20;;;;
1850;0.80;0.60;0.20;;;;
1855;1.00;0.60;0.20;;;;
1860;1.00;0.60;0.30;;;;
1865;0.90;0.50;0.20;;;;
1870;0.90;0.50;0.20;;;;
1875;0.90;0.50;0.20;;;;
1880;0.90;0.50;0.30;;;;
1885;0.90;0.50;0.30;;;;
1890;0.90;0.60;0.10;;;;
1895;1.80;1.30;0.30;;;;
1900;1.70;1.30;0.30;;;;
1905;1.10;0.60;0.20;;;;
1910;1.40;1.00;0.30;;;;
1915;0.80;0.50;0.20;;;;
1920;0.80;0.60;0.20;;;;
1925;1.00;0.60;0.30;;;;
1930;0.90;0.60;0.20;;;;
1935;0.90;0.50;0.30;;;;
1940;0.80;0.50;0.20;;;;
1945;0.80;0.50;0.20;;;;
1950;0.80;0.50;0.20;;;;
1955;0.90;0.50;0.20;;;;
1960;1.20;0.80;0.20;;;;
1965;1.00;0.60;0.20;;;;
1970;0.90;0.60;0.20;;;;
1975;0.80;0.50;0.20;;;;
1980;1.00;0.60;0.30;;;;
1985;1.00;0.60;0.20;;;;
1990;0.90;0.60;0.20;;;;
1995;0.90;0.60;0.20;;;;
2000;0.80;0.50;0.20;;;;
2005;0.90;0.50;0.20;;;;
2010;0.90;0.60;0.20;;;;
2015;0.90;0.50;0.20;;;;
2020;0.80;0.50;0.20;;;;
2025;0.90;0.60;0.30;;;;
2030;0.80;0.50;0.20;;;;
2035;1.00;0.60;0.20;;;;
2040;0.90;0.50;0.20;;;;
2045;0.90;0.50;0.20;;;;
2050;1.30;1.00;0.20;;;;
2055;1.00;0.60;0.20;;;;
2060;0.80;0.60;0.20;;;;
2065;1.80;1.30;0.40;;;;
2070;0.90;0.60;0.20;;;;
2075;1.10;0.60;0.30;;;;
2080;0.90;0.60;0.20;;;;
2085;0.90;0.50;0.30;;;;
2090;0.90;0.60;0.30;;;;
2095;0.90;0.60;0.10;;;;
2100;1.00;0.50;0.20;;;;
2105;0.80;0.50;0.20;;;;
2110;0.90;0.60;0.30;;;;
2115;1.00;0.60;0.20;;;;
2120;0.90;0.60;0.20;;;;
2125;0.90;0.50;0.30;;;;
2130;0.80;0.50;0.20;;;;
2135;0.90;0.60;0.20;;;;
2140;0.90;0.50;0.30;;;;
2145;0.90;0.60;0.20;;;;
2150;0.90;0.60;0.20;;;;
2155;1.00;0.70;0.20;;;;
2160;1.00;0.60;0.20;;;;
2165;0.90;0.50;0.20;;;;
2170;0.90;0.50;0.20;;;;
2175;0.90;0.50;0.20;;;;
2180;0.80;0.50;0.20;;;;
2185;1.40;1.10;0.30;;;;
2190;0.90;0.60;0.20;;;;
2195;0.90;0.50;0.20;;;;
2200;0.80;0.40;0.20;;;;
2205;1.00;0.50;0.20;;;;
2210;0.90;0.50;0.30;;;;
2215;0.90;0.60;0.20;;;;
2220;1.00;0.60;0.20;;;;
2225;1.10;0.60;0.30;;;;
2230;0.90;0.60;0.20;;;;
2235;1.00;0.60;0.20;;;;
2240;1.00;0.60;0.30;;;;
2245;0.90;0.50;0.20;;;;
2250;0.90;0.50;0.30;;;;
2255;0.90;0.50;0.20;;;;
2260;1.00;0.60;0.20;;;;
2265;1.00;0.50;0.20;;;;
2270;0.90;0.60;0.20;;;;
2275;0.90;0.60;0.10;;;;
2280;0.90;0.60;0.20;;;;
2285;0.90;0.60;0.20;;;;
2290;0.90;0.60;0.20;;;;
2295;0.90;0.60;0.20;;;;
2300;0.80;0.40;0.20;;;;
2305;1.00;0.60;0.30;;;;
2310;0.90;0.60;0.20;;;;
2315;0.90;0.60;0.20;;;;
2320;1.40;1.10;0.20;;;;
2325;1.10;0.60;0.30;;;;
2330;0.80;0.50;0.20;;;;
2335;0.90;0.60;0.20;;;;
2340;1.00;0.60;0.30;;;;
2345;1.00;0.60;0.20;;;;
2350;0.80;0.50;0.20;;;;
2355;0.80;0.50;0.20;;;;
2360;0.80;0.50;0.20;;;;
2365;2.30;1.70;0.40;;;;
2370;0.90;0.60;0.10;;;;
2375;1.00;0.60;0.20;;;;
2380;0.90;0.60;0.20;;;;
2385;0.90;0.60;0.20;;;;
2390;1.00;0.50;0.30;;;;
2395;0.90;0.50;0.30;;;;
2400;0.90;0.60;0.20;;;;
2405;0.90;0.60;0.20;;;;
2410;0.90;0.60;0.20;;;;
2415;0.90;0.60;0.20;;;;
2420;0.90;0.60;0.20;;;;
2425;1.00;0.50;0.30;;;;
2430;0.90;0.60;0.30;;;;
2435;0.90;0.50;0.20;;;;
2440;0.90;0.70;0.20;;;;
2445;0.80;0.50;0.20;;;;
2450;0.90;0.60;0.20;;;;
2455;1.30;0.90;0.30;;;;
2460;0.70;0.50;0.20;;;;
2465;1.00;0.60;0.20;;;;
2470;0.80;0.50;0.20;;;;
2475;0.90;0.50;0.20;;;;
2480;0.80;0.40;0.30;;;;
2485;1.00;0.60;0.20;;;;
2490;0.90;0.60;0.20;;;;
2495;1.00;0.60;0.30;;;;
2500;0.80;0.50;0.10;;;;
2505;0.90;0.60;0.20;;;;
2510;0.80;0.50;0.20;;;;
2515;1.00;0.60;0.30;;;;
2520;1.00;0.60;0.20;;;;
2525;1.00;0.60;0.30;;;;
2530;0.90;0.50;0.20;;;;
2535;0.80;0.60;0.10;;;;
2540;1.00;0.60;0.30;;;;
2545;1.00;0.60;0.20;;;;
2550;1.00;0.60;0.30;;;;
2555;0.80;0.50;0.20;;;;
2560;0.90;0.50;0.20;;;;
2565;0.80;0.60;0.20;;;;
2570;1.00;0.60;0.30;;;;
2575;0.90;0.60;0.20;;;;
2580;0.90;0.50;0.20;;;;
2585;1.40;0.90;0.30;;;;
2590;0.90;0.60;0.20;;;;
2595;1.00;0.60;0.20;;;;
2600;0.90;0.60;0.20;;;;
2605;0.90;0.60;0.20;;;;
2610;0.80;0.50;0.20;;;;
2615;0.90;0.50;0.20;;;;
2620;0.80;0.50;0.20;;;;
2625;0.90;0.60;0.20;;;;
2630;0.90;0.60;0.20;;;;
2635;0.90;0.50;0.20;;;;
2640;1.00;0.70;0.20;;;;
2645;0.80;0.40;0.20;;;;
2650;0.80;0.50;0.20;;;;
2655;1.00;0.70;0.20;;;;
2660;1.10;0.70;0.20;;;;
2665;1.40;1.00;0.20;;;;
2670;1.20;0.70;0.30;;;;
2675;1.00;0.70;0.20;;;;
2680;1.00;0.60;0.30;;;;
2685;1.00;0.60;0.20;;;;
2690;0.90;0.50;0.20;;;;
2695;0.90;0.50;0.20;;;;
2700;0.80;0.50;0.20;;;;
2705;0.80;0.50;0.20;;;;
2710;0.80;0.50;0.30;;;;
2715;1.00;0.60;0.30;;;;
2720;1.50;1.00;0.30;;;;
2725;0.90;0.50;0.30;;;;
2730;0.90;0.50;0.30;;;;
2735;1.00;0.60;0.20;;;;
