Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada;;;
524;10404268;896908;7.936412989;;;
525;10404268;896908;7.936412989;;;
526;10404268;896908;7.936412989;;;
527;10404268;896908;7.936412989;;;
528;10404268;896908;7.936412989;;;
529;10404268;896908;7.936412989;;;
530;10404268;896908;7.936412989;;;
531;10404268;896908;7.936412989;;;
532;10404268;896908;7.936412989;;;
533;10404268;896908;7.936412989;;;
534;10404268;896908;7.936412989;;;
535;10404268;896908;7.936412989;;;
536;10404268;896908;7.936412989;;;
537;10404268;896908;7.936412989;;;
538;10404268;896908;7.936412989;;;
539;10404268;896908;7.936412989;;;
540;10404268;896908;7.936412989;;;
541;10404268;896908;7.936412989;;;
542;10404268;896908;7.936412989;;;
543;10404268;896908;7.936412989;;;
544;10404268;896908;7.936412989;;;
545;10404268;896908;7.936412989;;;
546;10404260;896916;7.936483778;;;
547;10404260;896916;7.936483778;;;
548;10404260;896916;7.936483778;;;
549;10404260;896916;7.936483778;;;
550;10404260;896916;7.936483778;;;
551;10404260;896916;7.936483778;;;
552;10404260;896916;7.936483778;;;
553;10404252;896924;7.936554567;;;
554;10404260;896916;7.936483778;;;
555;10404260;896916;7.936483778;;;
556;10404256;896920;7.936519173;;;
557;10404284;896892;7.936271411;;;
558;10404204;896972;7.936979302;;;
559;10404268;896908;7.936412989;;;
560;10404268;896908;7.936412989;;;
561;10404268;896908;7.936412989;;;
562;10404268;896908;7.936412989;;;
563;10404268;896908;7.936412989;;;
564;10404268;896908;7.936412989;;;
565;10404268;896908;7.936412989;;;
566;10404260;896916;7.936483778;;;
567;10404260;896916;7.936483778;;;
568;10404260;896916;7.936483778;;;
569;10404260;896916;7.936483778;;;
570;10404260;896916;7.936483778;;;
571;10404260;896916;7.936483778;;;
572;10404260;896916;7.936483778;;;
573;10404260;896916;7.936483778;;;
574;10404136;897040;7.937581009;;;
575;10404136;897040;7.937581009;;;
576;10404136;897040;7.937581009;;;
577;10404120;897056;7.937722587;;;
578;10404120;897056;7.937722587;;;
579;10404136;897040;7.937581009;;;
580;10404136;897040;7.937581009;;;
581;10404136;897040;7.937581009;;;
582;10404136;897040;7.937581009;;;
583;10404136;897040;7.937581009;;;
584;10404136;897040;7.937581009;;;
585;10404136;897040;7.937581009;;;
586;10404136;897040;7.937581009;;;
587;10404136;897040;7.937581009;;;
588;10404136;897040;7.937581009;;;
589;10404136;897040;7.937581009;;;
590;10404136;897040;7.937581009;;;
591;10404136;897040;7.937581009;;;
592;10404136;897040;7.937581009;;;
593;10404136;897040;7.937581009;;;
594;10404132;897044;7.937616404;;;
595;10404036;897140;7.938465873;;;
596;10403216;897960;7.945721755;;;
597;10403288;897888;7.945084653;;;
598;10403400;897776;7.944093606;;;
599;10403400;897776;7.944093606;;;
600;10403400;897776;7.944093606;;;
601;10403400;897776;7.944093606;;;
602;10403400;897776;7.944093606;;;
603;10403400;897776;7.944093606;;;
604;10403400;897776;7.944093606;;;
605;10403400;897776;7.944093606;;;
606;10403400;897776;7.944093606;;;
607;10403400;897776;7.944093606;;;
608;10403400;897776;7.944093606;;;
609;10403400;897776;7.944093606;;;
610;10403400;897776;7.944093606;;;
611;10403400;897776;7.944093606;;;
612;10403400;897776;7.944093606;;;
613;10403400;897776;7.944093606;;;
614;10403400;897776;7.944093606;;;
615;10403400;897776;7.944093606;;;
616;10403400;897776;7.944093606;;;
617;10403400;897776;7.944093606;;;
618;10403400;897776;7.944093606;;;
619;10403392;897784;7.944164395;;;
620;10403392;897784;7.944164395;;;
621;10403392;897784;7.944164395;;;
622;10403392;897784;7.944164395;;;
623;10403392;897784;7.944164395;;;
624;10403392;897784;7.944164395;;;
625;10403392;897784;7.944164395;;;
626;10403392;897784;7.944164395;;;
627;10403392;897784;7.944164395;;;
628;10403392;897784;7.944164395;;;
629;10403400;897776;7.944093606;;;
630;10403400;897776;7.944093606;;;
631;10403400;897776;7.944093606;;;
632;10403400;897776;7.944093606;;;
633;10403400;897776;7.944093606;;;
634;10403400;897776;7.944093606;;;
635;10403400;897776;7.944093606;;;
636;10403400;897776;7.944093606;;;
637;10403400;897776;7.944093606;;;
638;10403400;897776;7.944093606;;;
