Timestamp;% Memoria utilizada;Capacidad disponible;Capacidad utilizada;;;;
4830;32.6515315;10825116;5248176;;;;
4845;32.6515315;10825116;5248176;;;;
4860;32.6515315;10825116;5248176;;;;
4875;32.6515315;10825116;5248176;;;;
4890;32.64996368;10825368;5247924;;;;
4905;32.66720968;10822596;5250696;;;;
4920;32.66720968;10822596;5250696;;;;
4935;32.69047809;10818856;5254436;;;;
4950;32.79875709;10801452;5271840;;;;
4965;32.79806029;10801564;5271728;;;;
4980;32.79718928;10801704;5271588;;;;
4995;32.79718928;10801704;5271588;;;;
5010;32.79718928;10801704;5271588;;;;
5025;32.77611083;10805092;5268200;;;;
5040;32.71996801;10814116;5259176;;;;
5055;32.75115017;10809104;5264188;;;;
5070;32.7448789;10810112;5263180;;;;
5085;32.76526053;10806836;5266456;;;;
5100;32.76526053;10806836;5266456;;;;
5115;32.76682835;10806584;5266708;;;;
5130;32.76682835;10806584;5266708;;;;
5145;32.79494953;10802064;5271228;;;;
5160;32.79494953;10802064;5271228;;;;
5175;32.79494953;10802064;5271228;;;;
5190;32.79494953;10802064;5271228;;;;
5205;32.81062772;10799544;5273748;;;;
5220;32.81219554;10799292;5274000;;;;
5235;32.79494953;10802064;5271228;;;;
5250;32.80487905;10800468;5272824;;;;
5265;32.80487905;10800468;5272824;;;;
5280;32.80644687;10800216;5273076;;;;
5295;32.78449741;10803744;5269548;;;;
5310;32.78449741;10803744;5269548;;;;
5325;32.78449741;10803744;5269548;;;;
5340;32.79860778;10801476;5271816;;;;
5355;32.78763305;10803240;5270052;;;;
5370;32.78763305;10803240;5270052;;;;
5385;32.78449741;10803744;5269548;;;;
5400;32.80331123;10800720;5272572;;;;
5415;32.7923365;10802484;5270808;;;;
5430;32.7923365;10802484;5270808;;;;
5445;32.7923365;10802484;5270808;;;;
5460;32.79703996;10801728;5271564;;;;
5475;32.77352269;10805508;5267784;;;;
5490;32.7750905;10805256;5268036;;;;
5505;32.7750905;10805256;5268036;;;;
5520;32.79390432;10802232;5271060;;;;
5535;32.80174341;10800972;5272320;;;;
5550;32.82747554;10796836;5276456;;;;
5565;32.84628936;10793812;5279480;;;;
5580;32.83685756;10795328;5277964;;;;
5595;32.83372193;10795832;5277460;;;;
5610;32.81177247;10799360;5273932;;;;
5625;32.81177247;10799360;5273932;;;;
5640;32.81177247;10799360;5273932;;;;
5655;32.81177247;10799360;5273932;;;;
